name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance	superkingdom	kingdom	phylum	class	order	family	genus
Urophora quadrifasciata	28621	species	9155	9	2	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Urophora
Zonosemata electa	28623	species	3437	18	8	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Zonosemata
Aedes atropalpus	28624	species	56441	16	11	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Aedes
Tritoxa flexa	28628	species	4806	15	6	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Ulidiidae	Tritoxa
Piophila nigriceps	28631	species	33818	5	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Piophilidae	Piophila
Platystomatidae	28632	family	0	10	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Platystomatidae	
Pyrgota undata	28637	species	19803	20	3	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Pyrgotidae	Pyrgota
Xylocopa virginica	28638	species	29188	11	1	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Xylocopa
Tetraponera	28639	genus	0	28	18	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Tetraponera
Tetraponera rufonigra	28640	species	21405	44	21	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	Tetraponera
Bombus	28641	genus	0	1084	57	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus
Bombus avinoviellus	28642	species	5834	2	2	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus
Bombus pensylvanicus	28643	species	643302	530	309	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus
Eufriesea	28644	genus	0	98	2	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
Eufriesea caerulescens	28645	species	7065	8	2	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
Eulaema	28646	genus	0	8	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Eulaema
Eulaema polychroma	28647	species	4896	34	19	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Eulaema
Exoneura	28648	genus	0	4	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Exoneura
Exoneura bicolor	28649	species	8776	5	1	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Exoneura
Melipona	28651	genus	0	11	3	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Melipona
Melipona compressipes	28652	species	2820	4	2	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Melipona
Scaptotrigona	28655	genus	0	17	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona
Trigona	28657	genus	0	1	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Trigona
Trigona pallens	28659	species	2441	1	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Trigona
Prodoxidae	28660	family	0	2	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	
Greya	28661	genus	0	5	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya enchrysa	28662	species	10395	51	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya obscura	28664	species	74693	18	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya pectinifera	28666	species	672	2	1	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya politella	28668	species	89219	11	6	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya powelli	28669	species	2368	13	3	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya punctiferella	28670	species	3222	4	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya reticulata	28671	species	687	5	4	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya subalba	28672	species	2600	2	2	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya suffusca	28673	species	587	19	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Greya variabilis	28674	species	2644	4	1	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Greya
Prodoxus	28676	genus	0	4	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Prodoxus
Prodoxus quinquepunctellus	28677	species	61382	17	8	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Prodoxus
Tetragma gei	28679	species	3569	1	1	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Lepidoptera	Prodoxidae	Tetragma
Anas acuta	28680	species	340305	21	2	0.0 	Eukaryota	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anas
Calidris maritima	28682	species	38376	1	0	0.0 	Eukaryota	Metazoa	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris
Alcidae	28683	family	0	1	0	0.0 	Eukaryota	Metazoa	Chordata	Aves	Charadriiformes	Alcidae	
Alca torda	28689	species	59215	1	1	0.0 	Eukaryota	Metazoa	Chordata	Aves	Charadriiformes	Alcidae	Alca
Alle alle	28691	species	25517	5	4	0.0 	Eukaryota	Metazoa	Chordata	Aves	Charadriiformes	Alcidae	Alle
Brachyramphus marmoratus	28694	species	38294	4	3	0.0 	Eukaryota	Metazoa	Chordata	Aves	Charadriiformes	Alcidae	Brachyramphus
Synthliboramphus hypoleucus	28709	species	37336	1	0	0.0 	Eukaryota	Metazoa	Chordata	Aves	Charadriiformes	Alcidae	Synthliboramphus
Synthliboramphus wumizusume	28710	species	28388	1	1	0.0 	Eukaryota	Metazoa	Chordata	Aves	Charadriiformes	Alcidae	Synthliboramphus
Lanius ludovicianus	28713	species	33344	5	3	0.0 	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Laniidae	Lanius
Diphyllodes magnificus	28716	species	6573	3	0	0.0 	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Paradisaeidae	Diphyllodes
Ptilonorhynchus violaceus	28724	species	132915	2	0	0.0 	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Ptilonorhynchidae	Ptilonorhynchus
Corvidae	28725	family	0	72	0	0.0 	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Corvidae	
Cyanocitta cristata	28727	species	21385	1	1	0.0 	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Corvidae	Cyanocitta
Tyrannidae	28728	family	0	4	0	0.0 	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Tyrannidae	
Empidonax	28729	genus	0	1	0	0.0 	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Tyrannidae	Empidonax
Macroscelidea	28734	order	0	51	0	0.0 	Eukaryota	Metazoa	Chordata	Mammalia	Macroscelidea		
Macroscelididae	28735	family	0	238	0	0.0 	Eukaryota	Metazoa	Chordata	Mammalia	Macroscelidea	Macroscelididae	
Elephantulus	28736	genus	0	192	0	0.0 	Eukaryota	Metazoa	Chordata	Mammalia	Macroscelidea	Macroscelididae	Elephantulus
Elephantulus edwardii	28737	species	45310368	10097	4165	0.0 	Eukaryota	Metazoa	Chordata	Mammalia	Macroscelidea	Macroscelididae	Elephantulus
Cyprinodontiformes	28738	order	0	1065	2	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes		
Cubanichthys pengelleyi	28740	species	9405	1	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Cyprinodontidae	Cubanichthys
Cyprinodon	28741	genus	0	246	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Cyprinodontidae	Cyprinodon
Cyprinodon rubrofluviatilis	28742	species	27102	1	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Cyprinodontidae	Cyprinodon
Cyprinodon variegatus	28743	species	113389277	30324	10412	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Cyprinodontidae	Cyprinodon
Tomeurus gracilis	28754	species	11155	1	1	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Tomeurus
Fundulidae	28756	family	0	67	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	
Fundulus parvipinnis	28757	species	27224	1	1	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus
Xenotoca eiseni	28762	species	69376	11	5	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Goodeidae	Xenotoca
Zoogoneticus quitzeoensis	28764	species	89155	4	1	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Goodeidae	Zoogoneticus
Jenynsia	28766	genus	0	1	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Anablepidae	Jenynsia
Jenynsia lineata	28767	species	15374	1	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Anablepidae	Jenynsia
Nothobranchius	28779	genus	0	191	1	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Nothobranchiidae	Nothobranchius
