name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Polyplectron bicalcaratum	9059	species	741204	37	15	0.0
Pucrasia macrolopha	9061	species	72181	7	2	0.0
Syrmaticus ellioti	9063	species	50732	5	1	0.0
Syrmaticus humiae	9064	species	73898	3	2	0.0
Syrmaticus reevesii	9066	species	86188	28	1	0.0
Tragopan satyra	9070	species	24779	1	1	0.0
Tragopan temminckii	9071	species	77337	7	3	0.0
Afropavo congensis	9076	species	658811	26	8	0.0
Alectoris	9077	genus	0	1	0	0.0
Alectoris chukar	9078	species	481798	9	1	0.0
Alectoris rufa	9079	species	818796	85	41	0.0
Argusianus argus	9081	species	768192	70	47	0.0
Bambusicola	9082	genus	0	1	0	0.0
Bambusicola thoracicus	9083	species	337802	11	4	0.0
Catreus wallichii	9085	species	19832	2	1	0.0
Chrysolophus	9087	genus	0	1	0	0.0
Chrysolophus amherstiae	9088	species	74429	23	0	0.0
Chrysolophus pictus	9089	species	370741	36	13	0.0
Coturnix	9090	genus	0	138	0	0.0
Coturnix coturnix	9091	species	525203	107	25	0.0
Crossoptilon mantchuricum	9097	species	35672	1	0	0.0
Meleagris ocellata	9101	species	21171	1	1	0.0
Meleagris	9102	genus	0	98	0	0.0
Meleagris gallopavo	9103	species	91313125	21894	6766	0.0
Arborophila	9104	genus	0	1	0	0.0
Gruiformes	9108	order	0	305	0	0.0
Gruidae	9109	family	0	114	0	0.0
Anthropoides virgo	9111	species	37576	23	0	0.0
Grus	9114	genus	0	7	0	0.0
Grus vipio	9115	species	40077	2	0	0.0
Grus americana	9117	species	46064	4	2	0.0
Grus carunculatus	9118	species	37206	20	0	0.0
Fulica atra	9121	species	125936	11	7	0.0
Gallinula chloropus	9123	species	44503	3	1	0.0
Passeriformes	9126	order	0	4894	953	0.0
Gymnorhina tibicen	9132	species	91799	2	2	0.0
Fringillidae	9133	family	0	13	1	0.0
Serinus	9134	genus	0	196	0	0.0
